11/16/2022,5:59:45 PM,27.0, -OL, -OL,29.7
11/16/2022,5:59:55 PM,27.0, -OL, -OL,29.9
11/16/2022,6:00:05 PM,27.1, -OL, -OL,30.0
11/16/2022,6:00:15 PM,27.2, -OL, -OL,30.0
11/16/2022,6:00:25 PM,27.4, -OL, -OL,30.1
11/16/2022,6:00:35 PM,27.5, -OL, -OL,30.1
11/16/2022,6:00:45 PM,27.6, -OL, -OL,30.1
11/16/2022,6:00:55 PM,27.6, -OL, -OL,30.1
11/16/2022,6:01:05 PM,27.8, -OL, -OL,30.1
11/16/2022,6:01:15 PM,27.9, -OL, -OL,30.1
11/16/2022,6:01:25 PM,28.0, -OL, -OL,30.1
11/16/2022,6:01:35 PM,28.0, -OL, -OL,30.1
11/16/2022,6:01:45 PM,28.1, -OL, -OL,30.0
11/16/2022,6:01:55 PM,28.3, -OL, -OL,30.0
11/16/2022,6:02:05 PM,28.3, -OL, -OL,30.0
11/16/2022,6:02:15 PM,28.4, -OL, -OL,30.0
11/16/2022,6:02:25 PM,28.5, -OL, -OL,29.9
11/16/2022,6:02:35 PM,28.6, -OL, -OL,29.9
11/16/2022,6:02:45 PM,28.6, -OL, -OL,29.9
11/16/2022,6:02:55 PM,28.8, -OL, -OL,29.9
11/16/2022,6:03:05 PM,28.9, -OL, -OL,29.9
11/16/2022,6:03:15 PM,28.9, -OL, -OL,29.9
11/16/2022,6:03:25 PM,29.0, -OL, -OL,29.9
11/16/2022,6:03:35 PM,29.0, -OL, -OL,30.0
11/16/2022,6:03:45 PM,29.1, -OL, -OL,30.0
11/16/2022,6:03:55 PM,29.3, -OL, -OL,30.0
11/16/2022,6:04:05 PM,29.3, -OL, -OL,30.0
11/16/2022,6:04:15 PM,29.4, -OL, -OL,30.1
11/16/2022,6:04:25 PM,29.4, -OL, -OL,30.1
11/16/2022,6:04:35 PM,29.5, -OL, -OL,30.1
11/16/2022,6:04:45 PM,29.6, -OL, -OL,30.2
11/16/2022,6:04:55 PM,29.6, -OL, -OL,30.2
11/16/2022,6:05:05 PM,29.7, -OL, -OL,30.2
11/16/2022,6:05:15 PM,29.7, -OL, -OL,30.2
11/16/2022,6:05:25 PM,29.9, -OL, -OL,30.3
11/16/2022,6:05:35 PM,29.9, -OL, -OL,30.3
11/16/2022,6:05:45 PM,30.0, -OL, -OL,30.3
11/16/2022,6:05:55 PM,30.1, -OL, -OL,30.3
11/16/2022,6:06:05 PM,30.1, -OL, -OL,30.3
11/16/2022,6:06:15 PM,30.2, -OL, -OL,30.4
11/16/2022,6:06:25 PM,30.2, -OL, -OL,30.4
11/16/2022,6:06:35 PM,30.3, -OL, -OL,30.4
11/16/2022,6:06:45 PM,30.3, -OL, -OL,30.4
11/16/2022,6:06:55 PM,30.4, -OL, -OL,30.4
11/16/2022,6:07:05 PM,30.6, -OL, -OL,30.4
11/16/2022,6:07:15 PM,30.6, -OL, -OL,30.4
11/16/2022,6:07:25 PM,30.7, -OL, -OL,30.4
11/16/2022,6:07:35 PM,30.7, -OL, -OL,30.4
11/16/2022,6:07:45 PM,30.8, -OL, -OL,30.4
11/16/2022,6:07:55 PM,30.8, -OL, -OL,30.4
11/16/2022,6:08:05 PM,30.9, -OL, -OL,30.4
